2020-07-16 12:29:09.634 [Test worker] INFO  C.G.P.ForgotPasswordRepositoryTest: Starting ForgotPasswordRepositoryTest on Prabhjots-MacBook-Pro.local with PID 40703 (started by prabhjotkaur in /Users/prabhjotkaur/git/group22)
2020-07-16 12:29:09.640 [Test worker] INFO  C.G.P.ForgotPasswordRepositoryTest: No active profile set, falling back to default profiles: default
2020-07-16 12:29:11.509 [Test worker] INFO  C.G.P.ForgotPasswordRepositoryTest: Started ForgotPasswordRepositoryTest in 2.359 seconds (JVM running for 3.564)
2020-07-16 12:29:12.144 [Test worker] INFO  C.G.Password.Policy: Calling the Policy Repository to fetch all the password security policies from database
2020-07-16 12:29:12.144 [Test worker] INFO  C.G.Password.Policy: Calling the Policy Repository to fetch all the password security policies from database
2020-07-16 12:29:12.161 [Test worker] INFO  C.G.Password.Policy: Calling the Policy Repository to check if the password follows enabled security policies
2020-07-16 12:29:12.161 [Test worker] INFO  C.G.Password.Policy: Checking if the password follows enabled security policies
2020-07-16 12:29:12.162 [Test worker] INFO  C.G.Password.Policy: Calling the Policy Repository to check if the password follows enabled security policies
2020-07-16 12:29:12.162 [Test worker] INFO  C.G.Password.Policy: Checking if the password follows enabled security policies
2020-07-16 12:29:12.162 [Test worker] ERROR C.G.Password.Policy: Minimum password length security policy is violated
2020-07-16 12:29:12.162 [Test worker] INFO  C.G.Password.Policy: Calling the Policy Repository to check if the password follows enabled security policies
2020-07-16 12:29:12.163 [Test worker] INFO  C.G.Password.Policy: Checking if the password follows enabled security policies
2020-07-16 12:29:12.163 [Test worker] ERROR C.G.Password.Policy: Maximum password length security policy is violated
2020-07-16 12:29:12.163 [Test worker] INFO  C.G.Password.Policy: Calling the Policy Repository to check if the password follows enabled security policies
2020-07-16 12:29:12.164 [Test worker] INFO  C.G.Password.Policy: Checking if the password follows enabled security policies
2020-07-16 12:29:12.164 [Test worker] ERROR C.G.Password.Policy: Minimum upper case charachters required password security policy is violated
2020-07-16 12:29:12.166 [Test worker] INFO  C.G.Password.Policy: Calling the Policy Repository to check if the password follows enabled security policies
2020-07-16 12:29:12.166 [Test worker] INFO  C.G.Password.Policy: Checking if the password follows enabled security policies
2020-07-16 12:29:12.166 [Test worker] ERROR C.G.Password.Policy: Minimum lower case charachters required password security policy is violated
2020-07-16 12:29:12.167 [Test worker] INFO  C.G.Password.Policy: Calling the Policy Repository to check if the password follows enabled security policies
2020-07-16 12:29:12.167 [Test worker] INFO  C.G.Password.Policy: Checking if the password follows enabled security policies
2020-07-16 12:29:12.167 [Test worker] ERROR C.G.Password.Policy: Minimum special symbols required password security policy is violated
2020-07-16 12:29:12.167 [Test worker] INFO  C.G.Password.Policy: Calling the Policy Repository to check if the password follows enabled security policies
2020-07-16 12:29:12.168 [Test worker] INFO  C.G.Password.Policy: Checking if the password follows enabled security policies
2020-07-16 12:29:12.168 [Test worker] ERROR C.G.Password.Policy: Charachters not allowed in password security policy is violated
2020-07-16 12:29:12.182 [Test worker] WARN  C.G.Password.PasswordHistoryManager: Could not fetch history setting value
2020-07-16 12:29:12.228 [Test worker] INFO  C.G.Password.Policy: Calling the Policy Repository to check if the password follows enabled security policies
2020-07-16 12:29:12.228 [Test worker] INFO  C.G.Password.Policy: Checking if the password follows enabled security policies
2020-07-16 12:29:12.229 [Test worker] INFO  C.G.Password.Policy: Calling the Policy Repository to check if the password follows enabled security policies
2020-07-16 12:29:12.230 [Test worker] INFO  C.G.Password.Policy: Checking if the password follows enabled security policies
2020-07-16 12:29:12.230 [Test worker] ERROR C.G.Password.Policy: Minimum password length security policy is violated
2020-07-16 12:29:12.231 [Test worker] INFO  C.G.Password.Policy: Calling the Policy Repository to check if the password follows enabled security policies
2020-07-16 12:29:12.231 [Test worker] INFO  C.G.Password.Policy: Checking if the password follows enabled security policies
2020-07-16 12:29:12.232 [Test worker] INFO  C.G.Password.Policy: Calling the Policy Repository to check if the password follows enabled security policies
2020-07-16 12:29:12.232 [Test worker] INFO  C.G.Password.Policy: Checking if the password follows enabled security policies
2020-07-16 12:29:12.233 [Test worker] INFO  C.G.Password.ForgotPasswordManager: User violated history while updating password
2020-07-16 12:29:12.234 [Test worker] INFO  C.G.Password.Policy: Calling the Policy Repository to check if the password follows enabled security policies
2020-07-16 12:29:12.234 [Test worker] INFO  C.G.Password.Policy: Checking if the password follows enabled security policies
2020-07-16 12:29:12.238 [Test worker] INFO  C.G.Password.ForgotPasswordManager: User is updating existing token
2020-07-16 12:29:12.239 [Test worker] INFO  C.G.Password.ForgotPasswordManager: User is adding new token
2020-07-16 12:29:12.286 [Test worker] INFO  C.G.Course.TAControllerTest: Starting TAControllerTest on Prabhjots-MacBook-Pro.local with PID 40703 (started by prabhjotkaur in /Users/prabhjotkaur/git/group22)
2020-07-16 12:29:12.287 [Test worker] INFO  C.G.Course.TAControllerTest: No active profile set, falling back to default profiles: default
2020-07-16 12:29:12.747 [Test worker] INFO  C.G.Course.TAControllerTest: Started TAControllerTest in 0.478 seconds (JVM running for 4.802)
2020-07-16 12:29:12.814 [Test worker] INFO  C.G.Course.TaController: Checking if instructor has created a survey for the course
2020-07-16 12:29:12.815 [Test worker] INFO  C.GroupFormationTool.Survey.Survey: Getting survey id based on course id
2020-07-16 12:29:12.815 [Test worker] INFO  C.G.Course.TaController: Checking if instructor has published the survey for the course
2020-07-16 12:29:12.815 [Test worker] INFO  C.GroupFormationTool.Survey.Survey: Checking if the survey is published for the course from the database
2020-07-16 12:29:13.107 [Test worker] INFO  C.G.Question.Question: Function call to get instructors for a course using email Id
2020-07-16 12:29:13.107 [Test worker] INFO  C.G.Question.Question: Function call to get instructors for a course using email Id
2020-07-16 12:29:13.110 [Test worker] INFO  C.G.Question.Question: Get the courses enrolled by a student using student's email Id
2020-07-16 12:29:13.110 [Test worker] INFO  C.G.Question.Question: Get the courses enrolled by a student using student's email Id
2020-07-16 12:29:13.116 [Test worker] INFO  C.G.Question.Question: The function call return the users that are not enrolled as an instructor for a course
2020-07-16 12:29:13.116 [Test worker] INFO  C.G.Question.Question: The function call return the users that are not enrolled as an instructor for a course
2020-07-16 12:29:13.119 [Test worker] INFO  C.G.Question.Question: Function call to get TA for a course using course Id
2020-07-16 12:29:13.119 [Test worker] INFO  C.G.Question.Question: Function call to get TA for a course using course Id
2020-07-16 12:29:13.125 [Test worker] INFO  C.G.Question.Question: Function call to add an instructor for a course using course Id and email Id
2020-07-16 12:29:13.126 [Test worker] INFO  C.G.Question.Question: Function call to add an instructor for a course using course Id and email Id
2020-07-16 12:29:13.128 [Test worker] INFO  C.G.Question.Question: Function call to enroll a TA for the course using email id
2020-07-16 12:29:13.128 [Test worker] INFO  C.G.Question.Question: Function call to enroll a TA for the course using email id
2020-07-16 12:29:13.133 [Test worker] INFO  C.G.Question.Question: Get the role of a user by email Id
2020-07-16 12:29:13.133 [Test worker] INFO  C.G.Question.Question: Get the role of a user by email Id
2020-07-16 12:29:13.139 [Test worker] INFO  C.G.Question.Question: Get the courses for a TA using email Id
2020-07-16 12:29:13.139 [Test worker] INFO  C.G.Question.Question: Get the courses for a TA using email Id
2020-07-16 12:29:13.146 [Test worker] INFO  C.G.Question.Question: Function call to get instructor for a course using course Id
2020-07-16 12:29:13.147 [Test worker] INFO  C.G.Question.Question: Function call to get instructor for a course using course Id
2020-07-16 12:29:13.244 [Test worker] INFO  C.G.Q.QuestionManagerRepository: Added valid students in a proper data list 
2020-07-16 12:29:13.266 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get all courses
2020-07-16 12:29:13.266 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get all courses
2020-07-16 12:29:13.267 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get all courses
2020-07-16 12:29:13.267 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get all courses
2020-07-16 12:29:13.273 [Test worker] INFO  C.GroupFormationTool.Course.Course: Creating a new course and storing it in the database
2020-07-16 12:29:13.274 [Test worker] INFO  C.GroupFormationTool.Course.Course: Creating a new course and storing it in the database
2020-07-16 12:29:13.276 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get courses details by Id
2020-07-16 12:29:13.276 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get courses details by Id
2020-07-16 12:29:13.276 [Test worker] INFO  C.GroupFormationTool.Course.Course: Calling the courseRepository function to get courses details by Id
